Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,Elite%
M,1,Fábio Vieira,5.5,5.5,Arsenal,4,0.35,8,0.52,11,0.7,10,0.58,10,0.52,12,0.87,11,0.8,13,2.77557925,0.0
F,2,G.Jesus,7.0,7.0,Arsenal,43,3.14,46,2.81,45,3.37,44,2.49,45,2.12,47,4.04,48,4.01,47,11.328648937499999,0.02
D,3,Gabriel,6.0,6.0,Arsenal,89,4.93,86,3.44,83,4.2,82,3.08,80,2.25,79,4.6,78,4.55,76,12.370529124999997,0.13
F,4,Havertz,8.0,8.0,Arsenal,80,5.23,75,4.05,73,4.79,72,3.69,71,3.01,70,5.36,69,5.18,70,14.723507875000001,0.13
G,5,Hein,4.0,4.0,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,6,J.Timber,5.5,5.5,Arsenal,11,0.47,20,0.8,26,1.3,27,1.04,27,0.81,28,1.59,31,1.73,33,5.464431687499999,0.01
M,7,Jorginho,5.0,5.0,Arsenal,30,1.25,31,1.18,34,1.38,35,1.25,36,1.21,36,1.52,37,1.55,37,5.0498420625,0.0
D,8,Kiwior,5.0,5.0,Arsenal,4,0.19,9,0.34,8,0.35,7,0.28,6,0.2,8,0.41,8,0.41,8,1.1578856874999999,0.0
M,9,Martinelli,7.0,7.0,Arsenal,47,3.46,47,2.84,47,3.36,46,2.64,44,2.13,47,4.04,46,3.82,46,10.787123437499996,0.03
M,10,Nelson,5.0,5.0,Arsenal,3,0.27,3,0.26,4,0.3,4,0.29,7,0.38,8,0.59,7,0.56,8,1.8407334375,0.0
F,11,Nketiah,6.0,6.0,Arsenal,3,0.32,3,0.24,2,0.18,2,0.14,2,0.16,3,0.27,3,0.32,2,0.8583770625,0.0
M,12,Nwaneri,4.5,4.5,Arsenal,6,0.37,7,0.4,10,0.53,10,0.5,10,0.47,12,0.62,13,0.69,12,2.2577765,0.0
M,13,Ødegaard,8.5,8.5,Arsenal,91,5.9,89,4.67,86,5.52,86,4.33,86,3.55,84,6.49,83,6.28,84,17.9655053125,0.16
G,14,Ramsdale,4.5,4.5,Arsenal,1,0.05,2,0.1,3,0.16,4,0.15,6,0.21,7,0.33,7,0.31,7,1.1418646874999998,0.01
G,15,Raya,5.5,5.5,Arsenal,94,4.39,92,3.65,91,3.98,91,3.48,89,3.17,88,4.11,88,4.13,88,13.241630375,0.25
M,16,Rice,6.5,6.5,Arsenal,80,3.36,81,2.91,83,3.36,82,2.77,82,2.37,81,3.72,79,3.61,80,10.927441374999997,0.06
M,17,Saka,10.0,10.0,Arsenal,83,6.93,82,5.37,82,6.71,82,5.02,82,4.07,80,7.77,79,7.55,80,20.935466437499997,0.3
D,18,Saliba,6.0,6.0,Arsenal,92,4.59,88,3.25,85,3.92,85,2.87,82,2.08,82,4.21,83,4.3,81,11.799449749999999,0.41
M,19,Smith Rowe,5.5,5.5,Fulham,68,2.91,69,4.11,68,3.62,68,3.57,66,3.28,65,3.19,66,2.32,65,11.7353236875,0.15
M,20,Thomas,5.0,5.0,Arsenal,46,1.91,42,1.56,40,1.64,41,1.48,39,1.28,38,1.76,38,1.74,40,5.520981937499999,0.0
D,21,Tierney,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06,0,0.0,0,0.0,1,0.26463299999999995,0.0
D,22,Tomiyasu,5.0,5.0,Arsenal,1,0.05,7,0.28,14,0.66,17,0.65,26,0.8,27,1.51,27,1.52,27,4.4618304375,0.0
M,23,Trossard,7.0,7.0,Arsenal,51,3.68,51,3.04,50,3.55,49,2.82,49,2.29,47,4.0,48,3.97,46,10.963570625,0.02
D,24,White,6.5,6.5,Arsenal,86,4.56,84,3.25,82,3.94,80,2.87,79,2.11,77,4.24,75,4.11,75,11.619083624999998,0.11
D,25,Zinchenko,5.0,5.0,Arsenal,71,4.37,50,2.27,29,1.61,24,1.07,21,0.79,21,1.3,24,1.43,23,4.062319437499999,0.02
D,26,Alex Moreno,4.5,4.5,Aston Villa,23,0.9,21,0.75,21,0.95,20,0.98,19,0.92,19,0.89,19,0.81,20,3.0181959375,0.01
F,27,Archer,5.0,5.0,Aston Villa,10,0.66,7,0.46,8,0.59,8,0.64,8,0.63,9,0.69,10,0.66,8,2.190552875,0.01
M,28,Bailey,6.5,6.5,Aston Villa,72,3.65,67,2.98,65,3.89,62,3.91,60,3.74,60,3.77,59,3.43,59,11.8772085,0.04
M,29,Barkley,5.5,5.5,Aston Villa,27,1.31,30,1.27,30,1.62,27,1.51,24,1.43,24,1.39,24,1.28,25,4.5715193124999995,0.01
M,30,Barrenechea,5.0,5.0,Aston Villa,5,0.19,7,0.22,7,0.27,5,0.2,4,0.14,3,0.12,4,0.15,4,0.5310098125,0.0
M,31,Buendia,5.5,5.5,Aston Villa,8,0.51,10,0.52,10,0.67,12,0.73,11,0.71,11,0.75,12,0.72,12,2.7286076249999995,0.0
D,32,Cash,4.5,4.5,Aston Villa,63,2.06,59,1.6,59,2.46,59,2.72,54,2.58,57,2.53,56,2.12,55,7.182563437499999,0.03
M,33,Dendoncker,4.5,4.5,Aston Villa,5,0.26,8,0.34,8,0.41,8,0.38,5,0.28,4,0.21,4,0.2,3,0.8347127499999999,0.01
M,34,Diaby,6.5,6.5,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,35,Diego Carlos,4.5,4.5,Aston Villa,38,1.1,41,0.98,43,1.56,37,1.55,36,1.54,34,1.36,34,1.14,35,4.1499373749999995,0.01
D,36,Digne,4.5,4.5,Aston Villa,43,1.55,38,1.19,34,1.56,30,1.5,33,1.63,31,1.5,31,1.31,31,4.770444499999999,0.02
M,37,Dobbin,5.0,5.0,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
F,38,Duran,6.0,6.0,Aston Villa,36,2.03,24,1.24,25,1.61,26,1.7,25,1.71,27,1.79,26,1.62,28,5.93716975,0.0
G,39,Gauci,4.0,4.0,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,40,Hause,4.0,4.0,Aston Villa,1,0.03,1,0.03,2,0.07,2,0.08,0,0.0,0,0.0,0,0.0,0,0.0,0.01
