Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts
D,1,Cédric,4.2,4.2,Fulham,17,0.58,19,0.60,0,0.00,23,0.91,22,0.88,22,0.86,19,0.41,22,0.75,20,1.01
G,2,Leno,4.5,4.5,Fulham,88,3.39,87,3.25,0,0.00,84,3.50,87,3.66,84,3.49,85,1.86,85,3.30,84,5.40
M,3,Xhaka,4.9,4.9,Arsenal,74,3.62,70,2.89,69,3.17,67,3.06,67,2.42,66,2.59,62,2.95,63,2.04,63,2.51
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,2,0.10,3,0.13,4,0.19,5,0.24,5,0.17,5,0.21,6,0.31,5,0.17,3,0.15
M,6,Partey,4.7,4.7,Arsenal,65,2.69,64,2.33,65,2.58,62,2.42,62,2.01,60,2.09,58,2.36,59,1.73,59,2.06
M,7,Ødegaard,7.0,7.0,Arsenal,82,5.99,81,4.87,79,5.34,76,5.17,76,3.91,76,4.23,74,5.21,73,3.13,72,4.09
D,8,Tierney,4.6,4.6,Arsenal,12,0.71,14,0.68,15,0.84,16,0.90,17,0.70,17,0.82,19,1.13,16,0.54,18,0.90
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,72,4.67,69,3.67,71,4.58,68,4.06,68,2.69,69,3.48,67,4.31,68,2.01,69,3.52
F,11,Nketiah,6.8,6.8,Arsenal,27,1.84,32,1.85,24,1.59,19,1.28,21,1.15,19,1.08,21,1.43,17,0.84,20,1.16
M,12,Smith Rowe,5.6,5.6,Arsenal,11,0.84,10,0.67,11,0.82,15,1.15,17,1.05,23,1.44,23,1.71,23,1.17,24,1.51
M,13,Saka,8.5,8.1,Arsenal,85,6.76,82,5.31,76,5.64,76,5.68,76,4.22,76,4.58,74,5.72,75,3.43,77,4.66
D,14,Tomiyasu,4.2,4.2,Arsenal,23,1.38,30,1.51,31,1.90,34,1.90,36,1.40,35,1.73,43,2.60,39,1.16,41,2.01
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.39,88,3.92,88,4.41,87,4.07,86,3.38,87,3.81,85,4.22,85,3.11,86,3.82
D,16,Gabriel,5.2,5.1,Arsenal,88,5.26,83,3.98,80,4.71,80,4.31,78,2.74,78,3.52,73,4.32,74,1.93,74,3.42
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,50,1.68,43,2.80,0,0.00,45,1.65,45,1.52,44,1.54,47,1.70,46,1.53,42,1.52
M,19,Martinelli,6.5,6.2,Arsenal,75,5.83,69,4.43,66,4.83,64,4.68,61,3.43,57,3.51,53,4.06,57,2.71,55,3.38
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,56,1.79,51,3.14,50,1.55,42,1.32,42,1.23,37,1.31,0,0.00,40,1.41,42,1.26
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,3,0.23,2,0.15,2,0.20,4,0.29,4,0.28,5,0.34,7,0.52,6,0.32,6,0.38
G,24,Turner,3.8,3.8,Arsenal,2,0.08,2,0.10,2,0.10,3,0.15,4,0.15,3,0.14,4,0.22,5,0.17,4,0.16
M,25,Fábio Vieira,5.6,5.6,Arsenal,16,1.09,14,0.82,12,0.78,13,0.86,11,0.63,10,0.56,13,0.91,12,0.56,12,0.68
D,26,Saliba,5.3,5.3,Arsenal,86,4.75,82,3.71,81,4.43,78,3.91,78,2.56,77,3.30,74,4.04,75,1.84,75,3.27
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,7.9,7.9,Arsenal,5,0.40,26,1.59,55,3.58,65,4.29,68,3.53,70,3.79,71,4.79,75,3.23,73,3.95
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,0,0.00,0,0.00,10,1.11,22,1.37,39,2.04,47,2.32,47,2.74,50,2.17
F,30,Ings,6.4,6.4,West Ham,65,2.91,56,3.20,0,0.00,39,4.60,40,2.18,39,1.92,37,2.13,40,2.16,39,2.90
G,31,Martínez,4.9,4.9,Aston Villa,89,3.99,87,3.36,87,3.88,87,6.53,87,3.89,86,3.40,85,3.26,85,3.61,84,3.00
D,32,Chambers,4.2,4.2,Aston Villa,5,0.20,8,0.22,4,0.17,4,0.23,6,0.25,3,0.10,6,0.16,6,0.20,8,0.17
D,33,Digne,4.6,4.6,Aston Villa,36,1.84,35,1.38,39,2.07,38,2.74,38,1.98,36,1.49,36,1.38,38,1.83,40,1.19
M,34,Traoré,4.9,4.9,Aston Villa,12,0.71,14,0.78,13,0.86,14,1.53,13,0.86,11,0.64,12,0.67,12,0.76,12,0.63
G,35,Olsen,3.9,3.9,Aston Villa,1,0.03,3,0.11,3,0.14,3,0.22,3,0.13,4,0.14,4,0.15,5,0.20,6,0.20
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,73,2.86,73,2.50,71,3.00,66,4.45,65,2.74,65,2.35,65,2.26,67,2.66,65,2.07
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.3,4.3,Aston Villa,86,3.47,82,2.27,77,3.16,77,3.79,76,3.12,76,2.28,75,2.01,73,2.68,71,1.36
F,40,Watkins,7.3,7.3,Aston Villa,84,4.51,83,3.81,80,4.84,80,7.26,78,4.60,79,3.93,77,3.65,74,4.27,76,3.19
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,65,3.31,61,2.70,65,3.64,61,5.23,61,3.34,60,2.81,55,2.49,57,3.06,56,2.27
D,43,Cash,4.6,4.6,Aston Villa,73,3.33,69,2.21,67,3.15,67,3.90,67,3.13,66,2.30,65,2.02,64,2.69,62,1.42
D,44,Konsa,4.4,4.4,Aston Villa,87,3.61,77,2.28,55,2.30,45,2.46,47,2.00,46,1.47,45,1.30,48,1.84,49,1.03
