fpl_id,review_id,Name,Pos,Value,30_Pts,30_xMins,31_Pts,31_xMins,32_Pts,32_xMins,33_Pts,33_xMins,34_Pts,34_xMins,35_Pts,35_xMins,36_Pts,36_xMins,Team
4,4,Fábio Vieira,M,5.4,0.4,11.0,0.79,11.0,0.54,11.0,0.64,11.0,0.98,11.0,0.55,11.0,0.66,11.0,Arsenal
19,19,Saka,M,9.1,3.88,82.0,7.73,82.0,5.27,82.0,6.27,82.0,9.56,82.0,5.43,82.0,6.44,82.0,Arsenal
22,22,Smith Rowe,M,5.5,0.38,11.0,0.75,11.0,0.51,11.0,0.61,11.0,0.92,11.0,0.52,11.0,0.62,11.0,Arsenal
9,9,Jorginho,M,5.3,0.89,39.0,1.78,39.0,1.21,39.0,1.44,39.0,2.2,39.0,1.25,39.0,1.48,39.0,Arsenal
26,26,Trossard,M,6.5,1.76,39.38,3.03,39.38,2.07,39.38,2.46,39.38,3.75,39.38,2.13,39.38,2.52,39.38,Arsenal
12,12,Martinelli,M,7.7,2.59,68.85,5.55,68.85,3.79,68.85,4.5,68.85,6.87,68.85,3.9,68.85,4.62,68.85,Arsenal
14,14,Ødegaard,M,8.5,3.31,88.1,6.59,88.1,4.5,88.1,5.34,88.1,8.15,88.1,4.63,88.1,5.49,88.1,Arsenal
578,578,Nelson,M,4.8,0.45,15.0,0.89,15.0,0.61,15.0,0.72,15.0,1.1,15.0,0.62,15.0,0.74,15.0,Arsenal
540,540,Rice,M,5.5,2.2,84.0,4.38,84.0,2.99,84.0,3.55,84.0,5.42,84.0,3.08,84.0,3.65,84.0,Arsenal
15,15,Thomas,M,4.8,0.69,38.39,1.65,38.39,1.13,38.39,1.34,38.39,2.05,38.39,1.16,38.39,1.38,38.39,Arsenal
6,6,Havertz,M,7.2,2.8,70.69,5.35,70.69,3.65,70.69,4.33,70.69,6.61,70.69,3.75,70.69,4.45,70.69,Arsenal
58,58,Tielemans,M,5.6,3.42,75.14,1.99,75.14,3.2,75.14,1.91,75.14,3.08,75.14,2.9,75.14,2.53,75.14,Aston Villa
55,55,J.Ramsey,M,5.9,1.87,58.5,1.74,58.5,2.99,58.5,1.79,58.5,2.88,58.5,2.71,58.5,2.36,58.5,Aston Villa
47,47,Kamara,M,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
50,50,McGinn,M,5.4,0.0,47.65,0.0,47.65,3.17,47.65,2.19,47.65,3.54,47.65,3.33,47.65,2.9,47.65,Aston Villa
43,43,Douglas Luiz,M,5.7,4.86,90.0,2.82,90.0,4.85,90.0,2.89,90.0,4.68,90.0,4.39,90.0,3.83,90.0,Aston Villa
34,34,Bailey,M,5.7,4.79,74.15,2.6,74.15,4.48,74.15,2.67,74.15,4.32,74.15,4.06,74.15,3.54,74.15,Aston Villa
40,40,Dendoncker,M,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
35,35,Buendia,M,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
599,599,Diaby,M,6.3,2.47,41.0,1.43,41.0,2.47,41.0,1.47,41.0,2.38,41.0,2.24,41.0,1.95,41.0,Aston Villa
672,672,Zaniolo,M,5.4,1.0,25.0,0.58,25.0,1.0,25.0,0.6,25.0,0.97,25.0,0.91,25.0,0.79,25.0,Aston Villa
