,id,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont,chip,iter
11,201,2,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.46,92,1,1,-1,0,0,0,0,1,3.46,,1
12,120,2,Dunk,DEF,2,Brighton,0.0,0.0,2.98,91,1,1,-1,0,0,0,0,1,2.98,,1
8,3,2,Gabriel,DEF,2,Arsenal,0.0,0.0,3.52,89,1,1,-1,0,0,0,0,1,3.52,,1
6,311,2,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,5.23,85,1,1,-1,0,0,0,0,1,5.23,,1
5,181,2,Nkunku,MID,3,Chelsea,0.0,0.0,4.66,69,1,1,-1,0,0,0,0,1,4.66,,1
2,366,2,B.Fernandes,MID,3,Man Utd,0.0,0.0,4.86,89,1,1,-1,0,0,0,0,1,4.86,,1
4,199,2,Eze,MID,3,Crystal Palace,0.0,0.0,5.17,84,1,1,-1,0,0,0,0,1,5.17,,1
0,17,2,Saka,MID,3,Arsenal,0.0,0.0,5.4,86,1,1,-1,0,0,0,0,1,5.4,,1
1,328,2,M.Salah,MID,3,Liverpool,0.0,0.0,8.11,89,1,1,-1,1,0,0,0,2,16.22,,1
7,129,2,João Pedro,FWD,4,Brighton,0.0,0.0,4.38,71,1,1,-1,0,0,0,0,1,4.38,,1
3,401,2,Isak,FWD,4,Newcastle,0.0,0.0,5.52,88,1,1,-1,0,1,0,0,1,5.52,,1
14,109,2,Valdimarsson,GKP,1,Brentford,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,,1
9,251,2,Muniz,FWD,4,Fulham,0.0,0.0,4.34,76,1,0,1,0,0,0,0,0,0.0,,1
10,495,2,Pedro Porro,DEF,2,Spurs,0.0,0.0,2.64,49,1,0,2,0,0,0,0,0,0.0,,1
13,558,2,Mosquera,DEF,2,Wolves,0.0,0.0,2.13,87,1,0,3,0,0,0,0,0,0.0,,1
26,201,3,Henderson,GKP,1,Crystal Palace,0.0,0.0,3.06,90,1,1,-1,0,0,0,0,1,3.06,,1
28,558,3,Mosquera,DEF,2,Wolves,0.0,0.0,2.58,84,1,1,-1,0,0,0,0,1,2.58,,1
21,311,3,Alexander-Arnold,DEF,2,Liverpool,0.0,0.0,3.27,83,1,1,-1,0,0,0,0,1,3.27,,1
