Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,33,1.22,39,1.58,38,1.20,37,1.77,36,1.52,37,1.45,36,1.60,39,0.86
G,2,Leno,4.6,4.6,Fulham,88,3.49,88,3.63,86,3.22,86,6.20,86,3.59,85,3.53,84,3.67,85,3.06
M,3,Xhaka,4.9,4.9,Arsenal,73,2.87,69,3.29,72,2.26,70,2.70,68,2.30,67,2.62,65,2.78,69,2.99
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.03
D,5,Holding,4.2,4.2,Arsenal,36,1.65,27,1.51,23,0.65,20,0.85,20,0.72,18,0.74,19,0.91,21,1.07
M,6,Partey,4.7,4.7,Arsenal,72,2.64,68,2.99,69,2.07,66,2.40,65,2.12,65,2.39,65,2.60,65,2.64
M,7,Ødegaard,6.7,6.7,Arsenal,83,4.64,80,5.70,78,3.19,78,4.32,76,3.56,76,4.28,76,4.67,76,4.83
D,8,Tierney,4.6,4.6,Arsenal,17,0.84,20,1.23,24,0.81,22,1.11,24,1.01,23,1.12,23,1.30,25,1.49
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.9,4.9,Arsenal,84,3.89,80,4.59,76,2.12,77,3.54,76,2.77,79,3.43,76,3.99,77,4.17
F,11,Nketiah,6.4,6.4,Arsenal,2,0.17,9,0.75,13,0.71,15,0.98,17,0.96,17,1.14,19,1.34,17,1.27
M,12,Smith Rowe,5.6,5.6,Arsenal,9,0.63,16,1.21,17,0.88,18,1.12,18,0.99,19,1.19,21,1.39,21,1.41
M,13,Saka,8.6,8.6,Arsenal,84,5.55,79,6.82,77,3.68,76,4.97,77,4.13,77,5.13,75,5.59,72,5.62
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
